id,email,username,createdAt,updatedAt,lastLogin,rolesText,enabled,emailConfirmed,locked,phoneConfirmed,phoneConfirmationSentAt,userType.name,consentExternalCommunication,consentInternalCommunication,gender,firstname,lastname,dateOfBirth,websiteUrl,biography,address,address2,zipCode,city,phone,url,googleId,facebookId,samlId,opinionsCount,opinionVotesCount,opinionVersionsCount,argumentsCount,argumentVotesCount,proposalsCount,proposalVotesCount,commentVotesCount,sourcesCount,repliesCount,postCommentsCount,eventCommentsCount,projectsCount,deletedAccountAt
VXNlcjp1c2VyMjAw,user200@cap-collectif.com,user200,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname200,lastname200,,,,,,,,,https://capco.dev/profile/user200,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTk5,user199@cap-collectif.com,user199,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname199,lastname199,,,,,,,,,https://capco.dev/profile/user199,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTk4,user198@cap-collectif.com,user198,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname198,lastname198,,,,,,,,,https://capco.dev/profile/user198,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTk3,user197@cap-collectif.com,user197,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname197,lastname197,,,,,,,,,https://capco.dev/profile/user197,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTk2,user196@cap-collectif.com,user196,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname196,lastname196,,,,,,,,,https://capco.dev/profile/user196,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTk1,user195@cap-collectif.com,user195,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname195,lastname195,,,,,,,,,https://capco.dev/profile/user195,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTk0,user194@cap-collectif.com,user194,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname194,lastname194,,,,,,,,,https://capco.dev/profile/user194,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTkz,user193@cap-collectif.com,user193,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname193,lastname193,,,,,,,,,https://capco.dev/profile/user193,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTky,user192@cap-collectif.com,user192,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname192,lastname192,,,,,,,,,https://capco.dev/profile/user192,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTkx,user191@cap-collectif.com,user191,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname191,lastname191,,,,,,,,,https://capco.dev/profile/user191,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTkw,user190@cap-collectif.com,user190,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname190,lastname190,,,,,,,,,https://capco.dev/profile/user190,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTg5,user189@cap-collectif.com,user189,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname189,lastname189,,,,,,,,,https://capco.dev/profile/user189,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTg4,user188@cap-collectif.com,user188,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname188,lastname188,,,,,,,,,https://capco.dev/profile/user188,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTg3,user187@cap-collectif.com,user187,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname187,lastname187,,,,,,,,,https://capco.dev/profile/user187,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTg2,user186@cap-collectif.com,user186,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname186,lastname186,,,,,,,,,https://capco.dev/profile/user186,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTg1,user185@cap-collectif.com,user185,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname185,lastname185,,,,,,,,,https://capco.dev/profile/user185,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
VXNlcjp1c2VyMTg0,user184@cap-collectif.com,user184,@datetime@,,,Utilisateur,Yes,,No,No,,Citoyen,No,No,,firstname184,lastname184,,,,,,,,,https://capco.dev/profile/user184,,,,0,0,0,0,0,0,0,0,0,,0,0,0,
