export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_created_at,export_proposal_updated_at,export_proposal_publication_status,export_proposal_undraft_at,export_proposal_trashed_at,export_proposal_trashed_reason,export_proposal_author_username,export_proposal_author_is_email_confirmed,export_proposal_author_email,export_proposal_author_user_type_id,export_proposal_author_user_type_name,export_proposal_official_response,export_proposal_votes_published_at,export_proposal_votes_published,export_proposal_votes_accounted,export_proposal_votes_anonymous,export_proposal_votes_author_id,export_proposal_votes_author_username,export_proposal_votes_author_is_email_confirmed,export_proposal_votes_author_is_phone_confirmed,export_proposal_votes_author_user_type_id,export_proposal_votes_author_user_type_name,export_proposal_comments_id,export_proposal_comments_body,export_proposal_comments_created_at,export_proposal_comments_published_at,export_proposal_comments_updated_at,export_proposal_comments_author_id,export_proposal_comments_author_username,export_proposal_comments_author_is_email_confirmed,export_proposal_comments_author_user_type_id,export_proposal_comments_author_user_type_name,export_proposal_comments_author_email,export_proposal_comments_pinned,export_proposal_comments_publication_status,export_proposal_comments_vote_id,export_proposal_comments_vote_created_at,export_proposal_comments_vote_published_at,export_proposal_comments_vote_author_id,export_proposal_comments_vote_author_username,export_proposal_comments_vote_author_is_email_confirmed,export_proposal_comments_vote_author_user_type_id,export_proposal_comments_vote_author_user_type_name,export_proposal_news_id,export_proposal_news_title,export_proposal_news_themes,export_proposal_news_linked_projects,export_proposal_news_linked_proposal,export_proposal_news_created_at,export_proposal_news_updated_at,export_proposal_news_published_at,export_proposal_news_publication_status,export_proposal_news_commentable,export_proposal_news_displayed_on_blog,export_proposal_news_authors_id,export_proposal_news_authors_username,export_proposal_news_authors_is_email_confirmed,export_proposal_news_authors_user_type_id,export_proposal_news_authors_user_type_name,export_proposal_news_comments_id,export_proposal_news_comments_body,export_proposal_news_comments_parent,export_proposal_news_comments_created_at,export_proposal_news_comments_published_at,export_proposal_news_comments_updated_at,export_proposal_news_comments_author_id,export_proposal_news_comments_author_username,export_proposal_news_comments_author_is_email_confirmed,export_proposal_news_comments_author_user_type_id,export_proposal_news_comments_author_user_type_name,export_proposal_news_comments_author_email,export_proposal_news_comments_pinned,export_proposal_news_comments_publication_status,export_proposal_news_comments_vote_id,export_proposal_news_comments_vote_created_at,export_proposal_news_comments_vote_published_at,export_proposal_news_comments_vote_author_id,export_proposal_news_comments_vote_author_username,export_proposal_news_comments_vote_author_is_email_confirmed,export_proposal_news_comments_vote_author_user_type_id,export_proposal_news_comments_vote_author_user_type_name,export_proposal_news_comments_reportings_id,export_proposal_news_comments_reportings_created_at,export_proposal_news_comments_reportings_author_id,export_proposal_news_comments_reportings_author_username,export_proposal_news_comments_reportings_author_is_email_confirmed,export_proposal_news_comments_reportings_author_user_type_id,export_proposal_news_comments_reportings_author_user_type_name,export_proposal_reportings_id,export_proposal_reportings_body,export_proposal_reportings_created_at,export_proposal_reportings_author_id,export_proposal_reportings_author_username,export_proposal_reportings_author_is_email_confirmed,export_proposal_reportings_author_user_type_id,export_proposal_reportings_author_user_type_name
export_contribution_type_proposal,proposal109,"2020-03-17 00:03:00","""19-1""","Jurer allégeance à Nurgle",,"Je vous propose de me contacter pour rejoindre la secte des adorateurs de Grand Père Nurgle",userAdmin,"Auto diagnostique",,,,,,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/jurer-allegeance-a-nurgle?_locale=fr-FR,,"2020-03-17 00:03:00","2020-03-17 00:03:00",export_proposal_publication_status_published,"2020-03-17 00:03:00",,,admin,Oui,admin@test.com,1,Citoyen,"Je sais pas trop quoi mettre dans le body désolé Spyl, me vire pas stp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,assignedProposals120,"2020-01-01 00:00:10","""19-9120""","Proposal assigned 120",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-120?_locale=fr-FR,,"2020-01-01 00:00:10","2020-01-01 00:00:10",export_proposal_publication_status_published,"2020-01-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,assignedProposals121,"2020-01-01 00:00:10","""19-9121""","Proposal assigned 121",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-121?_locale=fr-FR,,"2020-01-01 00:00:10","2020-01-01 00:00:10",export_proposal_publication_status_published,"2020-01-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,"Déso, on en veut pas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,assignedProposals122,"2020-01-01 00:00:10","""19-9122""","Proposal assigned 122",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-122?_locale=fr-FR,,"2020-01-01 00:00:10","2020-01-01 00:00:10",export_proposal_publication_status_published,"2020-01-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,assignedProposals123,"2020-01-01 00:00:10","""19-9123""","Proposal assigned 123",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-123?_locale=fr-FR,,"2020-01-01 00:00:10","2020-01-01 00:00:10",export_proposal_publication_status_published,"2020-01-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,assignedProposals124,"2020-01-01 00:00:10","""19-9124""","Proposal assigned 124",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-124?_locale=fr-FR,,"2020-01-01 00:00:10","2020-01-01 00:00:10",export_proposal_publication_status_published,"2020-01-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,assignedProposals125,"2020-01-01 00:00:10","""19-9125""","Proposal assigned 125",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-125?_locale=fr-FR,,"2020-01-01 00:00:10","2020-01-01 00:00:10",export_proposal_publication_status_published,"2020-01-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,assignedProposals126,"2020-01-01 00:00:10","""19-9126""","Proposal assigned 126",,"Proposition avec décision/analyse/avis",user160,"Théories du complot au cachot",,,,,"Nord Saint-Martin",,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-126?_locale=fr-FR,,"2020-01-01 00:00:10","2020-01-01 00:00:10",export_proposal_publication_status_published,"2020-01-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,assignedProposals127,"2020-01-01 00:00:10","""19-9127""","Proposal assigned 127",,"Proposition avec décision/analyse/avis",user160,"Théories du complot au cachot",,,,,"Nord Saint-Martin",,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-127?_locale=fr-FR,,"2020-01-01 00:00:10","2020-01-01 00:00:10",export_proposal_publication_status_published,"2020-01-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,assignedProposals128,"2020-01-01 00:00:10","""19-9128""","Proposal assigned 128",,"Proposition avec décision/analyse/avis",user160,"Théories du complot au cachot",,,,,"Nord Saint-Martin",,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-128?_locale=fr-FR,,"2020-01-01 00:00:10","2020-01-01 00:00:10",export_proposal_publication_status_published,"2020-01-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
